Training Results:
Hidden Dim: 128, Learning Rate: 0.001, Num Layers: 1, Training Loss: 0.0216
Hidden Dim: 128, Learning Rate: 0.001, Num Layers: 2, Training Loss: 0.0278
Hidden Dim: 128, Learning Rate: 0.001, Num Layers: 4, Training Loss: 0.0291
Hidden Dim: 128, Learning Rate: 0.0005, Num Layers: 1, Training Loss: 0.0698
Hidden Dim: 128, Learning Rate: 0.0005, Num Layers: 2, Training Loss: 0.0511
Hidden Dim: 128, Learning Rate: 0.0005, Num Layers: 4, Training Loss: 0.0458
Hidden Dim: 128, Learning Rate: 0.0001, Num Layers: 1, Training Loss: 0.3980
Hidden Dim: 128, Learning Rate: 0.0001, Num Layers: 2, Training Loss: 0.2998
Hidden Dim: 128, Learning Rate: 0.0001, Num Layers: 4, Training Loss: 0.2577
Hidden Dim: 256, Learning Rate: 0.001, Num Layers: 1, Training Loss: 0.0253
Hidden Dim: 256, Learning Rate: 0.001, Num Layers: 2, Training Loss: 0.0302
Hidden Dim: 256, Learning Rate: 0.001, Num Layers: 4, Training Loss: 0.0323
Hidden Dim: 256, Learning Rate: 0.0005, Num Layers: 1, Training Loss: 0.0877
Hidden Dim: 256, Learning Rate: 0.0005, Num Layers: 2, Training Loss: 0.0520
Hidden Dim: 256, Learning Rate: 0.0005, Num Layers: 4, Training Loss: 0.0483
Hidden Dim: 256, Learning Rate: 0.0001, Num Layers: 1, Training Loss: 0.2879
Hidden Dim: 256, Learning Rate: 0.0001, Num Layers: 2, Training Loss: 0.2065
Hidden Dim: 256, Learning Rate: 0.0001, Num Layers: 4, Training Loss: 0.1800
Hidden Dim: 512, Learning Rate: 0.001, Num Layers: 1, Training Loss: 0.0400
Hidden Dim: 512, Learning Rate: 0.001, Num Layers: 2, Training Loss: 0.0334
Hidden Dim: 512, Learning Rate: 0.001, Num Layers: 4, Training Loss: 0.0336
Hidden Dim: 512, Learning Rate: 0.0005, Num Layers: 1, Training Loss: 0.0947
Hidden Dim: 512, Learning Rate: 0.0005, Num Layers: 2, Training Loss: 0.0521
Hidden Dim: 512, Learning Rate: 0.0005, Num Layers: 4, Training Loss: 0.0480
Hidden Dim: 512, Learning Rate: 0.0001, Num Layers: 1, Training Loss: 0.2033
Hidden Dim: 512, Learning Rate: 0.0001, Num Layers: 2, Training Loss: 0.1412
Hidden Dim: 512, Learning Rate: 0.0001, Num Layers: 4, Training Loss: 0.1379

Validation Results:
Hidden Dim: 128, Learning Rate: 0.001, Num Layers: 1, Validation Loss: 0.0076
Hidden Dim: 128, Learning Rate: 0.001, Num Layers: 2, Validation Loss: 0.0151
Hidden Dim: 128, Learning Rate: 0.001, Num Layers: 4, Validation Loss: 0.0220
Hidden Dim: 128, Learning Rate: 0.0005, Num Layers: 1, Validation Loss: 0.0405
Hidden Dim: 128, Learning Rate: 0.0005, Num Layers: 2, Validation Loss: 0.0243
Hidden Dim: 128, Learning Rate: 0.0005, Num Layers: 4, Validation Loss: 0.0149
Hidden Dim: 128, Learning Rate: 0.0001, Num Layers: 1, Validation Loss: 0.2891
Hidden Dim: 128, Learning Rate: 0.0001, Num Layers: 2, Validation Loss: 0.1714
Hidden Dim: 128, Learning Rate: 0.0001, Num Layers: 4, Validation Loss: 0.1476
Hidden Dim: 256, Learning Rate: 0.001, Num Layers: 1, Validation Loss: 0.0430
Hidden Dim: 256, Learning Rate: 0.001, Num Layers: 2, Validation Loss: 0.0195
Hidden Dim: 256, Learning Rate: 0.001, Num Layers: 4, Validation Loss: 0.0233
Hidden Dim: 256, Learning Rate: 0.0005, Num Layers: 1, Validation Loss: 0.0388
Hidden Dim: 256, Learning Rate: 0.0005, Num Layers: 2, Validation Loss: 0.0148
Hidden Dim: 256, Learning Rate: 0.0005, Num Layers: 4, Validation Loss: 0.0176
Hidden Dim: 256, Learning Rate: 0.0001, Num Layers: 1, Validation Loss: 0.1675
Hidden Dim: 256, Learning Rate: 0.0001, Num Layers: 2, Validation Loss: 0.0935
Hidden Dim: 256, Learning Rate: 0.0001, Num Layers: 4, Validation Loss: 0.0931
Hidden Dim: 512, Learning Rate: 0.001, Num Layers: 1, Validation Loss: 0.0137
Hidden Dim: 512, Learning Rate: 0.001, Num Layers: 2, Validation Loss: 0.0122
Hidden Dim: 512, Learning Rate: 0.001, Num Layers: 4, Validation Loss: 0.0337
Hidden Dim: 512, Learning Rate: 0.0005, Num Layers: 1, Validation Loss: 0.0253
Hidden Dim: 512, Learning Rate: 0.0005, Num Layers: 2, Validation Loss: 0.0294
Hidden Dim: 512, Learning Rate: 0.0005, Num Layers: 4, Validation Loss: 0.0338
Hidden Dim: 512, Learning Rate: 0.0001, Num Layers: 1, Validation Loss: 0.1118
Hidden Dim: 512, Learning Rate: 0.0001, Num Layers: 2, Validation Loss: 0.0704
Hidden Dim: 512, Learning Rate: 0.0001, Num Layers: 4, Validation Loss: 0.0646
