epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,4.919207,4.919207,8.148736,84.209913,84.209913,8.937672
2,1.850254,1.847161,0.309363,32.116018,32.113985,0.203312
3,2.644243,2.640722,0.176049,26.228043,26.223652,0.219579
4,2.885013,2.878833,0.205985,26.452014,26.447250,0.158790
5,4.212223,4.206184,0.150974,25.249154,25.240649,0.212626
6,4.478538,4.468698,0.196813,24.650376,24.634747,0.312592
7,5.830705,5.813749,0.282596,22.163463,22.149393,0.234501
8,5.052319,5.036141,0.231120,22.356302,22.340277,0.228926
9,5.559727,5.540419,0.241353,21.021172,20.994068,0.338809
10,6.142593,6.118668,0.265835,20.662041,20.634675,0.304066
11,6.416261,6.388697,0.275641,20.770487,20.739537,0.309501
12,7.919651,7.882163,0.340808,20.970168,20.909927,0.547644
13,8.522074,8.473647,0.403559,18.609797,18.549061,0.506126
14,8.063424,8.005866,0.442751,18.475706,18.401743,0.568947
15,8.018079,7.954931,0.451054,18.491369,18.431113,0.430406
16,9.103865,9.029770,0.493963,17.438647,17.372718,0.439527
17,9.828180,9.745812,0.549121,17.498604,17.415597,0.553382
18,8.746068,8.675346,0.471483,17.129787,17.052663,0.514166
19,9.489372,9.409215,0.534378,16.956026,16.869327,0.577997
20,10.100744,10.013566,0.581189,17.568775,17.476521,0.615032
21,10.985646,10.889313,0.642223,16.900438,16.812504,0.586230
21,10.310859,10.217745,0.620760,17.279996,17.199789,0.534707
22,10.666615,10.571697,0.632789,17.360432,17.265478,0.633030
23,11.412079,11.305769,0.708731,17.140247,17.043154,0.647285
24,11.223830,11.119352,0.696517,17.069775,16.971191,0.657225
25,11.555767,11.447497,0.721802,17.016743,16.902270,0.763158
26,11.996774,11.878501,0.788486,17.316927,17.184683,0.881628
27,12.166936,12.042446,0.829930,16.984769,16.853715,0.873694
28,11.787616,11.666218,0.809317,16.996683,16.879240,0.782950
29,11.696940,11.577546,0.795961,16.944315,16.816284,0.853541
30,11.778096,11.654083,0.826752,17.069681,16.945694,0.826576
