epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,4.016255,4.016255,8.807082,80.515516,80.515516,10.059115
2,1.419886,1.417311,0.257462,35.303623,35.302487,0.113558
3,1.311021,1.307069,0.197619,32.318569,32.312093,0.323744
4,2.587531,2.584282,0.108292,46.457895,46.452947,0.164922
5,3.433251,3.428671,0.114494,28.874990,28.871677,0.082826
6,3.512974,3.506861,0.122260,31.314039,31.308341,0.113974
7,4.378071,4.366417,0.194225,28.818124,28.801175,0.282482
8,3.905954,3.887936,0.257396,31.968870,31.951148,0.253167
9,3.853553,3.832084,0.268366,32.287230,32.267857,0.242167
10,4.688375,4.662642,0.285928,36.681250,36.637693,0.483972
11,5.195394,5.162286,0.331085,36.156401,36.114599,0.418017
12,4.439187,4.406799,0.294440,39.413427,39.369377,0.400460
13,5.486854,5.440891,0.383023,41.554264,41.516652,0.313423
14,5.425211,5.374812,0.387681,41.440044,41.371240,0.529269
15,5.884593,5.826720,0.413374,40.080597,40.013570,0.478764
16,5.959056,5.897514,0.410279,39.804821,39.755925,0.325973
17,5.963686,5.902237,0.409665,38.775054,38.725726,0.328850
18,6.608228,6.537703,0.470171,42.637716,42.559711,0.520027
19,6.668098,6.596927,0.474474,43.758643,43.688962,0.464534
20,7.270356,7.191149,0.528050,44.232365,44.154551,0.518760
21,7.139777,7.060649,0.527518,44.390376,44.308545,0.545540
22,7.524004,7.439840,0.561096,43.139594,43.073921,0.437819
23,7.803710,7.718020,0.571265,44.013163,43.926308,0.579026
