epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,12.869199,12.740541,0.857717,18.551630,18.391511,1.067463
2,12.506227,12.372147,0.893868,19.688811,19.531396,1.049437
3,12.497740,12.364094,0.890977,20.166614,20.009410,1.048029
4,12.391946,12.259241,0.884705,20.544414,20.388166,1.041649
5,12.340214,12.208062,0.881016,20.867334,20.711657,1.037851
6,12.271904,12.140297,0.877380,21.405707,21.250898,1.032061
7,12.325970,12.193588,0.882548,21.886429,21.731430,1.033328
8,12.331637,12.198799,0.885589,22.047473,21.892539,1.032897
9,12.246375,12.114351,0.880160,21.934000,21.778868,1.034210
10,12.289368,12.156897,0.883135,21.958022,21.803047,1.033169
1,0.000755,0.083564,0.486530,21.964693,21.897366,0.448846
1,0.570237,0.082817,0.484079,22.401049,22.333431,0.450785
2,0.448085,0.061239,0.299702,20.863557,20.806086,0.383139
3,0.424090,0.047757,0.264608,20.303723,20.248131,0.370618
4,0.404127,0.040779,0.250824,19.939547,19.885293,0.361688
5,0.390876,0.036675,0.240827,19.384479,19.331154,0.355500
6,0.390200,0.034216,0.235611,19.859614,19.806407,0.354717
7,0.385864,0.032283,0.231423,19.851130,19.797907,0.354822
8,0.387553,0.031344,0.230028,19.996133,19.943364,0.351786
9,0.385531,0.030812,0.229052,20.073634,20.020874,0.351734
10,0.378454,0.030286,0.228136,20.142780,20.090139,0.350939
