epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,0.591803,0.030560,0.040603,24.195510,24.190206,0.035361
2,0.562073,0.033181,0.035500,24.131997,24.126736,0.035073
3,0.548608,0.033984,0.033308,24.673644,24.668355,0.035259
4,0.538561,0.034082,0.032643,23.891896,23.886568,0.035521
5,0.522516,0.034306,0.032233,24.154688,24.149163,0.036830
6,0.523544,0.034155,0.032982,24.279385,24.273769,0.037441
7,0.520577,0.034382,0.033609,23.836079,23.830211,0.039120
8,0.515118,0.033708,0.034325,24.062383,24.056384,0.039996
9,0.510164,0.033672,0.035395,24.275040,24.268803,0.041583
10,0.504696,0.033828,0.035859,24.222736,24.216427,0.042062
